#,German,English,Srpski
1747,der BH; -s,the bra,грудњак
1748,das Obst,the fruit (no plural),воће (без множине)
1749,der Hase; -n; -n,"the hare, the rabbit","зец, зец"
1750,national,national,национални
1751,anzeigen,"to display, advertize, indicate, show","Да бисте приказали, рекламирајте, назначите, прикажите"
1752,behindert,"handicapped, disabled","хендикепирани, онеспособљени"
1753,der Notruf; -e,the emergency phone call; the distress call,телефонски позив за хитне случајеве; позив за невоље
1754,der Feierabend; -e,the end of the work day,крај радног дана
1755,automatisch,automatic,аутоматски
1756,die Kritik; -en,the criticism,критика
1757,der Senf; -e,the mustard,сенф
1758,anderthalb,one and a half ('e_' or ...),један и по ('е_' или ...)
1759,wegwerfen,to throw away,бацити
1760,erzeugen,"to generate, to create, to produce","да се генерише, створиће, да произведемо"
1761,technisch,technical (not 'f...'),технички (не 'ф ...')
1762,der Kaviar,the caviar (no plural),Кавијар (без множине)
1763,die Rückseite; -n,the backside,стражњи део
1764,die Kreuzung; -en,"the junction, crossing, crossroads, intersection ('Übergang' or ...)","Спој, прелазак, раскрсница, раскрснице (""Уберганг"" или ...)"
1765,stinken,to stink,смрдети
1766,geistig,"mental; spiritual; intellectual, mentally (g~)","ментални; духовно; Интелектуално, ментално (Г ~)"
1767,der Handschuh; -e,the glove,рукавица
1768,"der Rucksack; -""e",the backpack,Ранац
1769,erraten,to guess ('e_'),да погодим ('е_')
1770,stumm,"mute, silent","Искључивање, тихо"
1771,das Drama; die Dramen,the drama,драма
1772,"der Umgang; -""e","the handling, dealings, contact","Руковање, Послушања, Контакт"
1773,ursprünglich,originally,оригинално
1774,die Vase; -n,the vase,ваза
1775,der Schal; -e or -s,the scarf,мараму
1776,die Nachbarin; -nen,the female neighbour,женски комшија
1777,die Jeans; -,the jeans,фармерке
1778,arabisch,Arabian,Арапски
1779,vermuten,to suppose (not 'a...'),претпоставити (не 'а ...')
1780,der Triumph; -e,the triumph,тријумф
1781,der Terror; -s,the terror,терор
1782,"der Schnurrbart; -""e",the moustache,бркови
1783,die Spaghetti,the spaghetti (plural only),СПАГХЕТТИ (само множина)
1784,gruselig,"creepy, eerie, scary, spooky (not un...)","језиво, еерие, застрашујуће, сабласно (не ун ...)"
1785,der Kalender; -,the calendar,календар
1786,die Patrouille; -n,the patrol,патрола
1787,die Quittung; -en,the receipt,признаница
1788,kapieren,to understand ('k_'),да разумем ('к_')
1789,die Durchsage; -n,the announcement (D_),Најава (д_)
1790,befürchten,"to fear (fürchten, ... )","у страх (Фурцхтен, ...)"
1791,theoretisch,theoretical,теоријски
1792,gestalten,"to pattern, shape, fashion, design (not 'e...', 'k...')","на узорку, облик, моду, дизајн (није 'е ...', 'к ...')"
1793,der Strafzettel; -,the traffic ticket,саобраћајна карта
1794,fünfzehn,fifteen,петнаест
1795,murmeln,to mutter,да мрмља
1796,sichtbar,visible,видљив
1797,"der Ratschlag; -""e","the advice, counsel (Rat, Beratung, ...)","Савет, адвокат (пацов, Бератунг, ...)"
1798,"der Rechtsanwalt; -""e",the male lawyer,Мушки адвокат
1799,gefährden,"to endanger, to threaten","угрозити, претити"
1800,die Kellnerin; -nen,the waitress,конобарица
1801,kindisch,childish ('kindlich' or ...),дјетињасто ('киндлицх' или ...)
1802,der Inhalt; -e,the content,садржај
1803,mitgehen,to go along,ићи даље
1804,die Gewohnheit; -en,"the custom, the habit","обичај, навика"
1805,wesentlich,"essential (lebenswichtig, ... ) ('w_')","Ессентиал (Лебенсвицхтиг, ...) ('В_')"
1806,drängen,"to urge, push, shove, crowd (ermahnen, mahnen, or ...)","на упит, гурати, гурати, гужве (ермахнен, махнен или ...)"
1807,der Käufer; -,the buyer,купац
1808,ideal,ideal,идеалан
1809,kündigen,to give notice; to resign; to cancel (a contract or subscription),давати обавештење; дати отказ; Да бисте отказали (уговор или претплата)
1810,"der Betrag; -""e","the amount, ('B_')","износ, ('б_')"
1811,der Terrorismus,the terrorism (no plural),Тероризам (без множине)
1812,gleichgültig,indifferent,равнодушан
1813,das Element; -e,the element,елемент
1814,die Milliarde; -n,the billion,милијарду
1815,beschuldigen,to blame ('b_'),кривити ('б_')
1816,körperlich,physical,физички
1817,die Seide,the silk (no plural),Свила (без множине)
1818,der Bildschirm; -e,"the monitor, the screen","монитор, екран"
1819,die Notaufnahme; -n,the emergency room (hospital),Хитна помоћ (болница)
1820,"der Gruß; -""e","the salutation (singular), the regards (plural)","Поздрав (једнина), поздрав (множина)"
1821,die Jahreszeit; -en,"the season (Saison, ... )","Сезона (Саисон, ...)"
1822,die Mathematik,the mathematics (no plural),Математика (без множине)
1823,die Höflichkeit; -en,the courtesy,љубазност
1824,wiederum,"in turn, again","заузврат, опет"
1825,die Spezialität; -en,the specialty,специјалност
1826,untergehen,"to be destroyed; to set (sun, moon, etc); to perish","да буде уништен; да се постави (сунце, месец итд.); да пропадне"
1827,die Alliierten,the Allies (WWII) (plural only),Савезници (Свет) (само множини)
1828,der Anrufbeantworter; -,the answering machine,телефонска секретарица
1829,der Mitbewohner; -,"the housemate, the roommate","домаћица, цимер"
1830,angeben,"to state (sth), boast, quote/cite (sth) (a source, a reference number, a price)","на држава (стх), хвалити се, цитирати / навести (стх) (извор, референтни број, цена)"
1831,"die Wurst; -""e",the sausage,кобасица
1832,sofern,"provided that, as long as","под условом да, све док"
1833,das Argument; -e,the argument ('Ar_'),Аргумент ('ар_')
1834,winzig,tiny,сићушан
1835,die Umarmung; -en,"the hug, the embrace","загрљај, загрљај"
1836,niedrig,"menial, low, small","менија, ниска, мала"
1837,"der Bund; -""e",the association; the league (B~),Удружење; Лига (Б ~)
1838,durstig,thirsty,жедан
1839,anzünden,"to light a candle, cigarette, etc.","да осветли свећу, цигарету итд."
1840,"das Streichholz; -""er","the wooden match (for lighting cigarettes, etc.)",дрвена меча (за осветљење цигарета итд.)
1841,enorm,"enormous (not 'g...', 'r...')","огромно (не 'г ...', 'р ...')"
1842,der Schweiß,the sweat (no plural),зној (без множине)
1843,die Dauer,the duration (no plural),Трајање (без множине)
1844,die Schüssel; -n,the bowl,посуда
1845,inklusive,inclusive of,укључује
1846,wegfahren,"to drive away, to leave","да се одвезе, да одем"
1847,der Geiger; -,the male violinist,мушки виолиниста
1848,das Geschwister; -,the sibling,браћа и сестре
1849,der Kritiker; -,the male critic,мушки критичар
1850,der Haushalt; -e,the household,домаћинство
1851,die Nachfrage; -n,the demand (not 'F...'),Потражња (не 'ф ...')
1852,der Geiger; -,the violinist ('Violinist' or ...),"виолиниста ('виолиниста ""или ...)"
1853,der Terrorist; -en; -en,the terrorist,терориста
1854,die Notiz; -en,"the note, memo, quote (stocks)","Напомена, белешка, цитат (залихе)"
1855,der Gipfel; -,"the summit, the top","самит, врх"
1856,das Weltall,"the universe, outer space (no plural) (Universum, Weltraum, or ...)","Универзум, спољни простор (без множине) (Универсум, Велтраум или ...)"
1857,die Packung; -en,"the package, pack, packet (not 'das P...')","Пакет, пакет, пакет (није 'дас п ...')"
1858,das Drittel; -,the third,трећи
1859,gütig,"kind, gracious","врста, милостиве"
1860,der Gastgeber; -,the host,домаћин
1861,ausleihen,to borrow; to lend (a~),да се задужују; да позајми (а ~)
1862,geduldig,patient,пацијент
1863,die Unterhose; -n,"the underwear, underpants (not Unterwäsche)","Доње рубље, гаћице (не унтервасцхе)"
1864,die Mittagspause; -n,the lunch break,пауза за ручак
1865,"der Feuerwehrmann; -""er",the fireman,ватрогасац
1866,verbieten,to forbid,забрани
1867,der Gärtner; -,the (male) gardener,(мушко) баштован
1868,ermitteln,"to ascertain, determine, detect, investigate","да утврди, утврђује, открива, истражује"
1869,die Galerie; -n,the gallery,Галерија
1870,entsprechen,"to correspond (to), match, conform (to), comply (with)","да одговара (то), подударају, у складу са (до), придржавати се (са)"
